"","Iteration","Seconds"
"1","Initial",2602
"2","Initial",2488
"3","Initial",2532
"4","Initial",2649
"5","Initial",2508
"6","Initial",2348
"7","Initial",2521
"8","Initial",2444
"9","Initial",2414
"10","Initial",2724
"11","Initial",2669
"12","Initial",2624
"13","Initial",2401
"14","Initial",2345
"15","Initial",2626
"16","Initial",2489
"17","Initial",2748
"18","Initial",2624
"19","Initial",2494
"20","Initial",2246
"21","Initial",2540
"22","Initial",2645
"23","Initial",2553
"24","Initial",2533
"25","Initial",2444
"26","Initial",2552
"27","Initial",2645
"28","Initial",2592
"29","Initial",2324
"30","Initial",2654
"31","Initial",2273
"32","Initial",2472
"33","Initial",2775
"34","Initial",2309
"35","Initial",2593
"36","Initial",2445
"37","Initial",2613
"38","Initial",2610
"39","Initial",2345
"40","Initial",2445
"41","Initial",2298
"42","Initial",2369
"43","Initial",2248
"44","Initial",2639
"45","Initial",2303
"46","Initial",2584
"47","Initial",2584
"48","Initial",2420
"49","Initial",2602
"50","Initial",2392
"51","Initial",2465
"52","Initial",2521
"53","Initial",2444
"54","Initial",2529
"55","Initial",2245
"56","Initial",2682
"57","Initial",2440
"58","Initial",2652
"59","Initial",2555
"60","Initial",2535
"61","Initial",2544
"62","Initial",2500
"63","Initial",2568
"64","Initial",2640
"65","Initial",2639
"66","Initial",2531
"67","Initial",2602
"68","Initial",2363
"69","Initial",2450
"70","Initial",2750
"71","Initial",2610
"72","Initial",2410
"73","Initial",2436
"74","Initial",2444
"75","Initial",2624
"76","Initial",2483
"77","Initial",2606
"78","Initial",2652
"79","Initial",2540
"80","Initial",2475
"81","Initial",2508
"82","Initial",2303
"83","Initial",2267
"84","Initial",2237
"85","Initial",2593
"86","Initial",2273
"87","Initial",2552
"88","Initial",2602
"89","Initial",2580
"90","Initial",2535
"91","Initial",2428
"92","Initial",2380
"93","Initial",2682
"94","Initial",2544
"95","Initial",2542
"96","Initial",2619
"97","Initial",2428
"98","Initial",2526
"99","Initial",2588
"100","Initial",3480
"101","Initial",2724
"102","Initial",2609
"103","Initial",2040
"104","Initial",2612
"105","Initial",2520
"106","Initial",2143
"107","Initial",2430
"108","Initial",2308
"109","Initial",2437
"110","Initial",2573
"111","Initial",2550
"112","Initial",2446
"113","Initial",2503
"114","Initial",2568
"115","Initial",2548
"116","Initial",2442
"117","Initial",2608
"118","Initial",2611
"119","Initial",2640
"120","Initial",2555
"121","Initial",2444
"122","Initial",2432
"123","Initial",2258
"124","Initial",2580
"125","Initial",2679
"126","Initial",2462
"127","Initial",2493
"128","Initial",2547
"129","Initial",2771
"130","Initial",2545
"131","Initial",2475
"132","Initial",2375
"133","Initial",2545
"134","Initial",2544
"135","Initial",2327
"136","Initial",2444
"137","Initial",2652
"138","Initial",2267
"139","Initial",2492
"140","Initial",2542
"141","Initial",2697
"142","Initial",2548
"143","Initial",2309
"144","Initial",2531
"145","Initial",2632
"146","Initial",2592
"147","Initial",2548
"148","Initial",2730
"149","Initial",2277
"150","Initial",2210
"151","Initial",2501
"152","Initial",2160
"153","Initial",2495
"154","Initial",2090
"155","Initial",2388
"156","Initial",2546
"157","Initial",2357
"158","Initial",2211
"159","Initial",2290
"160","Initial",2208
"161","Initial",2203
"162","Initial",2559
"163","Initial",2750
"164","Initial",2490
"165","Initial",2295
"166","Initial",2099
"167","Initial",2402
"168","Initial",2211
"169","Initial",2181
"170","Initial",2580
"171","Initial",2440
"172","Initial",2390
"173","Initial",2637
"174","Initial",2596
"175","Initial",2252
"176","Initial",2368
"177","Initial",2952
"178","Initial",2410
"179","Initial",2167
"180","Initial",2520
"181","Initial",2360
"182","Initial",2700
"183","Initial",2542
"184","Initial",2700
"185","Initial",2573
"186","Initial",2313
"187","Initial",2410
"188","Initial",2744
"189","Initial",2695
"190","Initial",2638
"191","Initial",2242
"192","Initial",2491
"193","Initial",2245
"194","Initial",2545
"195","Initial",2316
"196","Initial",2203
"197","Initial",2397
"198","Initial",2410
"199","Initial",2290
"200","Initial",2380
"201","Initial",2298
"202","Initial",2381
"203","Initial",2181
"204","Initial",2294
"205","Initial",2487
"206","Initial",2298
"207","Initial",2316
"208","Initial",2357
"209","Initial",2491
"210","Initial",2316
"211","Initial",2361
"212","Initial",2130
"213","Initial",2520
"214","Initial",2205
"215","Initial",2311
"216","Initial",2745
"217","Initial",2476
"218","Initial",2260
"219","Initial",2680
"220","Initial",2827
"221","Initial",2576
"222","Initial",2621
"223","Initial",2412
"224","Initial",2734
"225","Initial",2037
"226","Initial",2230
"227","Initial",2479
"228","Initial",2132
"229","Initial",2411
"230","Initial",2354
"231","Initial",1919
"232","Initial",2082
"233","Initial",2349
"234","Initial",2835
"235","Initial",2559
"236","Initial",2509
"237","Initial",2163
"238","Initial",1928
"239","Initial",2835
"240","Initial",2559
"241","Initial",2360
"242","Initial",2340
"243","Initial",2300
"244","Initial",1890
"245","Initial",2557
"246","Initial",2737
"247","Initial",2512
"248","Initial",2289
"249","Initial",1844
"250","Initial",2125
"251","Initial",1995
"252","Initial",2497
"253","Initial",2453
"254","Initial",2064
"255","Initial",2717
"256","Initial",2284
"257","Initial",2705
"258","Initial",2340
"259","Initial",2572
"260","Initial",1977
"261","Initial",2662
"262","Initial",2155
"263","Initial",2243
"264","Initial",2715
"265","Initial",2350
"266","Initial",2260
"267","Initial",2080
"268","Initial",2500
"269","Initial",2761
"270","Initial",2487
"271","Initial",2500
"272","Initial",2025
"273","Initial",1970
"274","Initial",2456
"275","Initial",2306
"276","Initial",1844
"277","Initial",2452
"278","Initial",2527
"279","Initial",2558
"280","Initial",2347
"281","Initial",2372
"282","Initial",2080
"283","Initial",2495
"284","Initial",2336
"285","Initial",2406
"286","Initial",2737
"287","Initial",2437
"288","Initial",2166
"289","Initial",2260
"290","Initial",2160
"291","Initial",2608
"292","Initial",2058
"293","Initial",2334
"294","Initial",2599
"295","Initial",2353
"296","Initial",2550
